unix,date,symbol,open,high,low,close,Volume CORN,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1678233600000,2023-03-08 00:00:00,CORN/USDT,9.99,9.99,9.99,9.99,0,0,0,0,0,9.99
1678147200000,2023-03-07 00:00:00,CORN/USDT,9.99,9.99,9.99,9.99,6.89,0.690462,6.89,0.690462,2,9.99
1678060800000,2023-03-06 00:00:00,CORN/USDT,9.41,9.99,9.01,9.99,66.54,7.011452,27.6,2.764352,9,9.51
1677974400000,2023-03-05 00:00:00,CORN/USDT,9.01,9.01,9.01,9.01,0,0,0,0,0,9.06
1677888000000,2023-03-04 00:00:00,CORN/USDT,9.01,9.01,9.01,9.01,0,0,0,0,0,9.06
1677801600000,2023-03-03 00:00:00,CORN/USDT,9.2,9.2,9.01,9.01,27.39,3.021891,0,0,2,9.06
1677715200000,2023-03-02 00:00:00,CORN/USDT,8.6,10.99,8.6,9.6,45.74,4.28441,45.74,4.28441,13,10.7
1677628800000,2023-03-01 00:00:00,CORN/USDT,9.99,10.99,8.6,8.6,28.84,3.021838,14.66,1.385731,7,9.65
1677542400000,2023-02-28 00:00:00,CORN/USDT,9,9.99,8.5,9.99,55.95,6.092013,26.95,2.804432,9,9.22
1677456000000,2023-02-27 00:00:00,CORN/USDT,9.02,9.02,9,9,27.01,3,0.86,0.09615,4,9
1677369600000,2023-02-26 00:00:00,CORN/USDT,9.02,12,9.02,12,109.81,9.164561,52.75,4.409375,5,11.98
1677283200000,2023-02-25 00:00:00,CORN/USDT,9.01,9.01,9.01,9.01,0,0,0,0,0,9.01
1677196800000,2023-02-24 00:00:00,CORN/USDT,9.02,9.02,9.01,9.01,78.44,8.701745,1.36,0.151857,4,9.01
1677110400000,2023-02-23 00:00:00,CORN/USDT,11.06,13.5,11.06,13.49,10.96,0.90329,5.38,0.398894,6,12.25
1677024000000,2023-02-22 00:00:00,CORN/USDT,11,11.06,9.59,11.06,8.86,0.817722,8.86,0.817722,4,10.86
1676937600000,2023-02-21 00:00:00,CORN/USDT,9.02,9.02,9.02,9.02,0,0,0,0,0,12.22
1676851200000,2023-02-20 00:00:00,CORN/USDT,9.02,9.02,9.02,9.02,0,0,0,0,0,12.22
1676764800000,2023-02-19 00:00:00,CORN/USDT,12.38,12.52,9.02,9.02,41.88,3.445422,39.51,3.182362,4,12.22
1676678400000,2023-02-18 00:00:00,CORN/USDT,10.88,12.5,10.88,12.35,56.22,4.52078,56.22,4.52078,4,12.43
1676592000000,2023-02-17 00:00:00,CORN/USDT,10,10,10,10,0,0,0,0,0,10
1676505600000,2023-02-16 00:00:00,CORN/USDT,10,10,10,10,1.1,0.11,0,0,1,10
1676419200000,2023-02-15 00:00:00,CORN/USDT,10.87,10.88,10.87,10.88,108.58,9.980963,108.58,9.980963,5,10.87
1676332800000,2023-02-14 00:00:00,CORN/USDT,10.88,10.88,10.88,10.88,0,0,0,0,0,10.87
1676246400000,2023-02-13 00:00:00,CORN/USDT,10.88,10.88,10.88,10.88,0,0,0,0,0,10.87
1676160000000,2023-02-12 00:00:00,CORN/USDT,10.88,10.88,10.88,10.88,0,0,0,0,0,10.87
1676073600000,2023-02-11 00:00:00,CORN/USDT,10.88,10.88,10.88,10.88,0,0,0,0,0,10.879358263938009324
1675987200000,2023-02-10 00:00:00,CORN/USDT,10.88,10.88,10.88,10.88,0,0,0,0,0,10.879358263938009324
1675900800000,2023-02-09 00:00:00,CORN/USDT,10.88,10.88,10.88,10.88,0,0,0,0,0,10.879358263938009324
1675814400000,2023-02-08 00:00:00,CORN/USDT,10.22,10.88,10.22,10.88,1.0300646,0.094681,0.00178492,0.00017,3,10.879358263938009324
1675728000000,2023-02-07 00:00:00,CORN/USDT,10.22,10.22,10.22,10.22,25.01095632,2.447256,25.01095632,2.447256,1,10.22
1675641600000,2023-02-06 00:00:00,CORN/USDT,9.2,9.6,9.2,9.6,7.2803892,0.782504,7.2803892,0.782504,3,9.307272155175440345
1675555200000,2023-02-05 00:00:00,CORN/USDT,8.16,8.16,8.16,8.16,0,0,0,0,0,9.037236837228896662
1675468800000,2023-02-04 00:00:00,CORN/USDT,8.16,8.16,8.16,8.16,0,0,0,0,0,9.037236837228896662
1675382400000,2023-02-03 00:00:00,CORN/USDT,8.16,8.16,8.16,8.16,0,0,0,0,0,9.037236837228896662
